id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
8163014,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreservedSpecimen,4a4f39e0-1649-4c19-b4b6-913bb5cd793e,68,,,,,,Sarcoptidae,"Sarcoptes scabiei",,"Linnaeus | 1758",,,,,"Ricardo Villaba Briones",2022-02-02,,,,,,"Eliana Belen Molineros",,,,,,,,,"Encontrado en Lycalopex sechurae",,,,,,"Lycalopex sechurae",,,,,,,,,Ecuador,Guayas,Duran,Yaguachi,,,-2.221542,-79.70169,,,"S 2° 13' 17.553'' |O 79° 42' 6.086''",,,,,,,,,,,,,Español,mauricioherrera,"2022-06-07 14:57:19",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:4a4f39e0-1649-4c19-b4b6-913bb5cd793e,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=8163014
7719762,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,e57f1fa0-91dc-47a1-bc43-7318db8703d5,1,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2019-01-24,2019,1,24,24,,2019-1-24,Acari,"Terrestre; Hojarasca",1,,,,Cacao,Desconocido,Desconocido,Indeterminado,Indeterminado,3,"Embudos tipo Berlese-Tullgren modificado",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito",Puellaro,Alchipichí,,0.039683,-78.40115,WGS84,,"N 0o 2,381 - W 78o 24,069",,,,,,2090,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:e57f1fa0-91dc-47a1-bc43-7318db8703d5,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719762
7719763,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,e8255c30-6ffb-47db-bc2e-188c50e3bcd6,2,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2019-01-24,2019,1,24,24,,2019-1-24,Acari,"Terrestre; Hojarasca",3,,,,"Palma africana",Desconocido,Desconocido,Indeterminado,Indeterminado,1,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito",Puellaro,Alchipichí,,0.039683,-78.40115,WGS84,,"N 0o 2,381 - W 78o 24,069",,,,,,2090,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:e8255c30-6ffb-47db-bc2e-188c50e3bcd6,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719763
7719764,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,2e23f453-8c72-4d10-9183-87efd0b2b56f,3,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2019-01-24,2019,1,24,24,,2019-1-24,Acari,"Terrestre; Hojarasca",11,,,,Cacao,Desconocido,Desconocido,Indeterminado,Indeterminado,18,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito",Puellaro,Alchipichí,,0.03965,-78.01117,WGS84,,"N 0o 2,379 - W 78o 24,067",,,,,,2096,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:2e23f453-8c72-4d10-9183-87efd0b2b56f,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719764
7719765,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,a54acdfe-70e6-4722-8bcf-e55295907c64,4,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2019-01-24,2019,1,24,24,,2019-1-24,Acari,"Terrestre; Hojarasca",19,,,,Cacao,Desconocido,Desconocido,Indeterminado,Indeterminado,42,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito",Puellaro,Alchipichí,,0.03965,-78.01117,WGS84,,"N 0o 2,379 - W 78o 24,067",,,,,,2096,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:a54acdfe-70e6-4722-8bcf-e55295907c64,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719765
7719766,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,d300c4cb-a4a0-4eb0-a024-db9ffe1b90b7,5,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2019-01-24,2019,1,24,24,,2019-1-24,Acari,"Terrestre; Suelo",20,,,,Cacao,Desconocido,Desconocido,Indeterminado,Indeterminado,4,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito",Puellaro,Alchipichí,,0.0396333,-78.40011,WGS84,,"N 0o 2,378 - W 78o 24,068",,,,,,2090,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:d300c4cb-a4a0-4eb0-a024-db9ffe1b90b7,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719766
7719767,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,fc298356-49e3-4f04-a09e-f784173945e5,6,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2019-01-24,2019,1,24,24,,2019-1-24,Acari,"Terrestre; Hojarasca",21,,,,Mango,Desconocido,Desconocido,Indeterminado,Indeterminado,5,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito",Puellaro,Alchipichí,,0.0396333,-78.40011,WGS84,,"N 0o 2,378 - W 78o 24,068",,,,,,2090,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:fc298356-49e3-4f04-a09e-f784173945e5,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719767
7719768,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,9414f7e4-b894-4ad3-be27-41d616dd6bd7,7,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2019-01-24,2019,1,24,24,,2019-1-24,Acari,"Terrestre; Suelo",22,,,,Mango,Desconocido,Desconocido,Indeterminado,Indeterminado,1,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito",Puellaro,Alchipichí,,0.03955,-78.84011,WGS84,,"N 0o 2,373 - W 78o 24,063",,,,,,2094,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:9414f7e4-b894-4ad3-be27-41d616dd6bd7,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719768
7719769,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,88b406ea-bca7-4522-ae4c-4aa06461819f,8,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2019-01-24,2019,1,24,24,,2019-1-24,Acari,"Terrestre; Suelo",30,,,,Papaya,Desconocido,Desconocido,Indeterminado,Indeterminado,2,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito",Puellaro,Alchipichí,,0.03955,-78.84011,WGS84,,"N 0o 2,373 - W 78o 24,063",,,,,,2094,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:88b406ea-bca7-4522-ae4c-4aa06461819f,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719769
7719770,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,a91a7aaa-abb5-475e-84c4-87f8bb043905,9,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2018-02-09,2018,2,9,40,,2018-2-9,Acari,"Terrestre; Hojarasca",31,,,,palma,Desconocido,Desconocido,Indeterminado,Indeterminado,2,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito","San Jose de Minas",CADET,,0.2311,-78.485866,WGS84,,"N 0o 13,886 - W 78o 22,152",,,,,,2504,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:a91a7aaa-abb5-475e-84c4-87f8bb043905,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719770
7719771,INABIOEC,MECN-ACR,INABIO,5461e06e-d617-40ce-9440-a07ce57b2cf5,PreserverdSpecimen,799eb9da-d234-4ff4-98f7-2192c044d7da,10,,,,,,,,,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",2019-04-01,,,,,,"Carlos Alberto Ortega Ojeda | Elsa Liliana Melo Molina",,2018-02-09,2018,2,9,40,,2018-2-9,Acari,"Terrestre; Suelo",38,,,,Guabo,Desconocido,Desconocido,Indeterminado,Indeterminado,1,"Embudos tipo Berlese-Tullgren modificado por 5 días, se extraen en etanol al 75 %",,"Alcohol 75 %",Ecuador,Pichincha,"Distrito Metropolitano de Quito","San Jose de Minas",CADET,,0.2311,-78.485866,WGS84,,"N 0o 13,886 - W 78o 22,152",,,,,,2504,,,,,,,Spanish,"Elsa Liliana Melo Molina","2019-05-27 00:00:00",http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO","Sin fines de lucro",urn:uuid:799eb9da-d234-4ff4-98f7-2192c044d7da,https://bndb.sisbioecuador.bio:443/bndb/collections/individual/index.php?occid=7719771
